course_id,course_code,course_name
11,SCORM-0000-100,RADIOACTIVE SEED LOCALIZATION
12,SCORM-0000-101,RCT:  OBTAINING PATIENT'S PRIMARY CARE PHYSICIAN
13,SCORM-0000-102,RCT: BEHAVIORAL HEALTH SCHEDULING CBL
14,SCORM-0000-103,RCT: BUSINESS OFFICE BASICS (BOB) FY21
15,SCORM-0000-104,RCT: CARDIAC REHAB SCHEDULING CBL
16,SCORM-0000-105,RCT: CARDIOLOGY SCHEDULING CBL
17,SCORM-0000-106,RCT: CENTER FOR PERINATAL MEDICINE SCHEDULING CBL
18,SCORM-0000-107,RCT: DIABETES EDUCATION AND NUTRITION SCHEDULING CBL
19,SCORM-0000-108,RCT: ED NEW HIRE CBL ACF
20,SCORM-0000-109,RCT: INFUSION SCHEDULING CBL
21,SCORM-0000-11,BANCPAY APPROVER: HOW TO APPROVE AN INVOICE
22,SCORM-0000-110,RCT: LABOR AND DELIVERY NEW HIRE CBL ACF
23,SCORM-0000-111,RCT: LACTATION SCHEDULING CBL
24,SCORM-0000-112,RCT: MEDMETRIX TRAINING - DASHBOARD
25,SCORM-0000-113,RCT: MEDMETRIX_COMMERCIAL BILLING
26,SCORM-0000-114,RCT: MEDMETRIX_COMMERCIAL COLLECTIONS
27,SCORM-0000-115,RCT: MEDMETRIX_CONTRACT VIEWER
28,SCORM-0000-116,RCT: MEDMETRIX_CPPD EXCEPTIONS
29,SCORM-0000-117,RCT: MEDMETRIX_CPPD REFUNDS
30,SCORM-0000-118,RCT: MEDMETRIX_CURRENT TEAM
31,SCORM-0000-119,RCT: MEDMETRIX_CUSTOMER SERVICE
32,SCORM-0000-12,BANCPAY REVIEWER: HOW TO REVIEW AN INVOICE
33,SCORM-0000-120,RCT: MEDMETRIX_DENIAL MANAGEMENT
34,SCORM-0000-121,RCT: MEDMETRIX_FC REPORTING
35,SCORM-0000-122,RCT: MEDMETRIX_FINANCIAL ASSISTANCE
36,SCORM-0000-123,RCT: MEDMETRIX_FINANCIAL COUNSELING
37,SCORM-0000-124,RCT: MEDMETRIX_INTRODUCTION TO MEDMETRIX
38,SCORM-0000-125,RCT: MEDMETRIX_MEDICAID CMO BILLING
39,SCORM-0000-126,RCT: MEDMETRIX_MEDICAID CMO COLLECTIONS
40,SCORM-0000-127,RCT: MEDMETRIX_MEDICAID TRADITIONAL BILLING
41,SCORM-0000-128,RCT: MEDMETRIX_MEDICAID TRADITIONAL COLLECTIONS
42,SCORM-0000-129,RCT: MEDMETRIX_MEDICARE HMO BILLING
43,SCORM-0000-13,BASICS OF PACEMAKERS AND ICDS FOR RADIATION ONCOLOGY NURSING
44,SCORM-0000-130,RCT: MEDMETRIX_MEDICARE HMO COLLECTIONS
45,SCORM-0000-131,RCT: MEDMETRIX_MEDICARE TRADITIONAL BILLING
46,SCORM-0000-132,RCT: MEDMETRIX_MEDICARE TRADITIONAL COLLECTIONS
47,SCORM-0000-133,RCT: MEDMETRIX_POST TEAM
48,SCORM-0000-134,RCT: MEDMETRIX_PRE-REGISTRATION MATERNITY
49,SCORM-0000-135,RCT: MEDMETRIX_PRE-REGISTRATION RADIOLOGY
50,SCORM-0000-136,RCT: MEDMETRIX_PRE-REGISTRATION SLEEP STUDY
51,SCORM-0000-137,RCT: MEDMETRIX_PRE-REGISTRATION SURGERY
52,SCORM-0000-138,RCT: MEDMETRIX_PRETEAM
53,SCORM-0000-139,RCT: MEDMETRIX_ROOM CONTROL
54,SCORM-0000-14,BE IN THE KNOW WITH NSH
55,SCORM-0000-140,RCT: MEDMETRIX_SELF PAY COLLECTIONS
56,SCORM-0000-141,RCT: MRO MEDICAL RECORDS REQUEST CBL
57,SCORM-0000-142,RCT: MY ABILITY TRAINING CBL
58,SCORM-0000-143,RCT: NEURODIAGNOSTICS SCHEDULING CBL
59,SCORM-0000-144,RCT: NEWBORN ADMISSION CBL
60,SCORM-0000-145,RCT: NEWBORN REGISTRATION TRAINING FOR UCS
61,SCORM-0000-146,RCT: NUTRITION SCHEDULING CBL
62,SCORM-0000-147,RCT: PAIN AND SPINE SCHEDULING CBL
63,SCORM-0000-148,RCT: PATIENT SELECTION & DUPLICATE FIN PREVENTION IN SCHAPPTBOOK
64,SCORM-0000-149,RCT: PFS REMOTE ACCESS
65,SCORM-0000-15,COMPASSION FATIGUE
66,SCORM-0000-150,RCT: PULMONARY REHAB SCHEDULING CBL
67,SCORM-0000-151,RCT: RADIOLOGY SCHEDULING CBL
68,SCORM-0000-152,RCT: REHAB SCHEDULING CBL
69,SCORM-0000-153,RCT: RIGHTFAX CBL
70,SCORM-0000-154,RCT: SURGERY SCHEDULING CBL
71,SCORM-0000-155,RCT:MEDMETRIX_AUDIT
72,SCORM-0000-156,RCT:MEDMETRIX_GPPD
73,SCORM-0000-157,RCT_GMC MEDMETRIX_PRE AUTH
74,SCORM-0000-158,RCTA AMBULATORY APPOINTMENT PLUS
75,SCORM-0000-159,RCTA AMBULATORY COMPLETING APPOINTMENT REQUESTS IN CPM
76,SCORM-0000-16,CONFIDENTIALITY / SECURITY OF INFORMATION & COMPUTER ACCESS CODE AGREEMENT (EMPLOYEE)
77,SCORM-0000-160,RCTA AMBULATORY CPM SCHEDULING & REGISTRATION UNIVERSITY  QUIZ
78,SCORM-0000-161,RCTA AMBULATORY INSURANCE UNIVERSITY QUIZ
79,SCORM-0000-162,RCTA AMBULATORY PATIENT SATISFACTION AND COMPLIANCE CBL
80,SCORM-0000-163,RCTA AMBULATORY PATIENTCO TEXT-TO-PAY CBL
81,SCORM-0000-164,RCTA AMBULATORY PATIENTCO USER WORKFLOW COLLECTING PATIENT PAYMENTS CBL
82,SCORM-0000-165,RCTA AMBULATORY PCP MODULE
83,SCORM-0000-166,RCTA AMBULATORY WORKING THE RESCHEDULE REQUESTS QUEUE IN CPM
84,SCORM-0000-167,RCTA GMG PATIENT REGISTRATION & FINANCIAL PROCESSES
85,SCORM-0000-168,RCTA PATIENTCO PRACTICE COORDINATOR CBL
86,SCORM-0000-169,RCTA PATIENTCO PRACTICE COORDINATOR QUIZ
87,SCORM-0000-17,COVID-19 OB ORDER SETS TRAINING 2020
88,SCORM-0000-170,RCTA PATIENTCO USER WORKFLOW COLLECTING PATIENT PAYMENTS ASSESSMENT
89,SCORM-0000-171,RCTA PATIENTCO USER WORKFLOW COLLECTING PATIENT PAYMENTS TEST
90,SCORM-0000-172,RCTA PBS MRO MEDICAL RECORDS REQUEST PROCESS CBL
91,SCORM-0000-173,SCN - CREATING AN EXCEPTIONAL PATIENT EXPERIENCE
