course_id,course_code,course_name
1,SCORM-0000-01,2020 KINDNESS THROUGH COMMUNICATION - RECAP
2,SCORM-0000-02,2020 ONCOLOGY PHARMACIST REVIEW OBIC
3,SCORM-0000-03,2020 ONCOLOGY TECH REVIEW OBIC
4,SCORM-0000-04,2021 REHAB BONFIRE TRAINING MODULE 1
5,SCORM-0000-05,2021 REHAB BONFIRE TRAINING MODULE 2
6,SCORM-0000-06,2021 REHAB BONFIRE TRAINING MODULE 3
7,SCORM-0000-07,2021 REHAB INTERPRETING ORDERS
8,SCORM-0000-08,2021 REHAB NEW HIRE QPS OVERVIEW - VIDEO
9,SCORM-0000-09,2021 REHAB STROKE - MODULE 2
10,SCORM-0000-10,AIDET CUSTOMER SERVICE TRAINING
