course_id,course_code,course_name
6825,AICC-0000-3175,"LP: GASTROSCHISIS OR OMPHALOCELE CARE, NEONATE"
6826,AICC-0000-3176,LP: GASTROSTOMY TUBE REMOVAL
6827,AICC-0000-3177,"LP: GASTROSTOMY TUBE REMOVAL, PEDIATRIC"
6828,AICC-0000-3178,LP: GENDER DYSPHORIA ASSESSMENT
6829,AICC-0000-3179,LP: GESTATIONAL DIABETES PATIENT CARE
6830,AICC-0000-3180,"LP: GLUCOSE MONITORING, CONTINUOUS"
6831,AICC-0000-3181,"LP: GLUCOSE MONITORING, CONTINUOUS, PEDIATRIC"
6832,AICC-0000-3182,"LP: HAZARDOUS CHEMICAL HANDLING, OR"
6833,AICC-0000-3183,"LP: HEART SOUNDS AUSCULTATION, NEONATE"
6834,AICC-0000-3184,"LP: HEELSTICK, NEONATAL"
6835,AICC-0000-3185,"LP: HEMODIALYSIS, DOUBLE-LUMEN CATHETER, DECLOTTING"
6836,AICC-0000-3186,"LP: HOUR OF SLEEP CARE, PEDIATRIC"
6837,AICC-0000-3187,"LP: HYPERBARIC OXYGEN THERAPY, AMBULATORY CARE"
6838,AICC-0000-3188,"LP: IMMEDIATE-USE STEAM STERILIZATION, OR"
6839,AICC-0000-3189,LP: IMPLANTED PORT DRESSING CHANGE
6840,AICC-0000-3190,"LP: INFILTRATION AND EXTRAVASATION MANAGEMENT, NEONATE"
6841,AICC-0000-3191,"LP: INTERMITTENT (STRAIGHT) UROSTOMY CATHETER INSERTION, PEDIATRIC"
6842,AICC-0000-3192,"LP: INTRA-ARTICULAR MEDICATION ADMINISTRATION, ASSISTING"
6843,AICC-0000-3193,LP: INTRAPLEURAL MEDICATION ADMINISTRATION
6844,AICC-0000-3194,"LP: INTRATHECAL IMPLANTED PUMP, INTERROGATION AND REFILL, AMBULATORY CARE"
6845,AICC-0000-3195,"LP: INTRAVASCULAR ULTRASOUND, ASSISTING"
6846,AICC-0000-3196,"LP: ISOLATION PRECAUTIONS, LONG-TERM CARE"
6847,AICC-0000-3197,"LP: IV PROSTAGLANDIN E1 ADMINISTRATION, NEONATAL"
6848,AICC-0000-3198,"LP: LARYNGEAL MASK AIRWAY INSERTION, NEONATE"
6849,AICC-0000-3199,LP: LARYNGECTOMY STOMA CARE
6850,AICC-0000-32,"LP: BLADDER IRRIGATION, CONTINUOUS, HOME CARE"
6851,AICC-0000-3200,"LP: LEADLESS PACEMAKER INSERTION, ASSISTING"
6852,AICC-0000-3201,LP: LEECH THERAPY
6853,AICC-0000-3202,LP: LEFT HEART CATHETERIZATION INTRAPROCEDURE CARE
6854,AICC-0000-3203,LP: LEFT HEART CATHETERIZATION POSTPROCEDURE CARE
6855,AICC-0000-3204,LP: LEFT HEART CATHETERIZATION PREPROCEDURE CARE
6856,AICC-0000-3205,LP: LOCAL ANESTHESIA PATIENT CARE
6857,AICC-0000-3206,LP: LONG-ACTING INJECTABLE ANTIPSYCHOTIC MEDICATION ADMINISTRATION
6858,AICC-0000-3207,LP: MEDICATION RECONCILIATION
6859,AICC-0000-3208,LP: NASAL DECOLONIZATION
6860,AICC-0000-3209,"LP: NASOGASTRIC OR OROGASTRIC TUBE INSERTION, NEONATE"
6861,AICC-0000-3210,"LP: NASOGASTRIC OR OROGASTRIC TUBE MONITORING, NEONATE"
6862,AICC-0000-3211,"LP: NASOGASTRIC OR OROGASTRIC TUBE REMOVAL, NEONATE"
6863,AICC-0000-3212,"LP: NASOGASTRIC TUBE IRRIGATION, PEDIATRIC"
6864,AICC-0000-3213,"LP: NASOPHARYNGEAL SPECIMEN COLLECTION, PEDIATRIC"
6865,AICC-0000-3214,"LP: OPIOID USE DISORDER PATIENT CARE, PERIOPERATIVE"
6866,AICC-0000-3215,LP: ORAL MEDICATION ADHERENCE
6867,AICC-0000-3216,"LP: PAIN MANAGEMENT, AMBULATORY CARE"
6868,AICC-0000-3217,LP: PALLIATIVE SEDATION
6869,AICC-0000-3218,LP: PARENTAL PRESENCE IN THE OR
6870,AICC-0000-3219,LP: PATIENT MILIEU MANAGEMENT
6871,AICC-0000-3220,"LP: PENTAMIDINE ADMINISTRATION, INHALATION, RESPIRATORY THERAPY"
6872,AICC-0000-3221,"LP: PERCUTANEOUS LIVER BIOPSY, ASSISTING, PEDIATRIC"
6873,AICC-0000-3222,"LP: PERCUTANEOUS NEPHROSTOMY TUBE INSERTION, ASSISTING"
6874,AICC-0000-3223,"LP: PERIPHERAL NERVE BLOCK PATIENT CARE, PREOPERATIVE"
6875,AICC-0000-3224,LP: PESSARY MANAGEMENT (ADVANCED PRACTICE)
6876,AICC-0000-3225,"LP: POSTPARTUM ASSESSMENT, HOME CARE"
6877,AICC-0000-3226,LP: POSTTRAUMATIC STRESS DISORDER ASSESSMENT
6878,AICC-0000-3227,"LP: PRESSURE INJURY PREVENTION, NEONATE"
6879,AICC-0000-3228,"LP: PRESSURE INJURY PREVENTION, PEDIATRIC"
6880,AICC-0000-3229,LP: PRONE POSITIONING FOR THE AWAKE PATIENT
6881,AICC-0000-3230,LP: RADIAL ARTERY ACCESS CARE
6882,AICC-0000-3231,"LP: RADIATION SAFETY, OR"
6883,AICC-0000-3232,LP: RIGHT HEART CATHETERIZATION INTRAPROCEDURE CARE
6884,AICC-0000-3233,LP: RIGHT HEART CATHETERIZATION POSTPROCEDURE CARE
6885,AICC-0000-3234,LP: RIGHT HEART CATHETERIZATION PREPROCEDURE CARE
6886,AICC-0000-3235,"LP: RIGID CONTAINER SYSTEM USE, OR"
