course_id,course_name,status
1,2020 KINDNESS THROUGH COMMUNICATION - RECAP,SUCCESS
2,2020 ONCOLOGY PHARMACIST REVIEW OBIC,REVIEW- More than one item
3,2020 ONCOLOGY TECH REVIEW OBIC,REVIEW- More than one item
4,2021 REHAB BONFIRE TRAINING MODULE 1,SUCCESS
5,2021 REHAB BONFIRE TRAINING MODULE 2,SUCCESS
6,2021 REHAB BONFIRE TRAINING MODULE 3,SUCCESS
7,2021 REHAB INTERPRETING ORDERS,SUCCESS
8,2021 REHAB NEW HIRE QPS OVERVIEW - VIDEO,REVIEW- More than one item
9,2021 REHAB STROKE - MODULE 2,REVIEW- More than one item
10,AIDET CUSTOMER SERVICE TRAINING,FAIL- No item to select
