course_id,course_name,status
7772,NURSE RESIDENCY CRITICAL CARE_WEEK 8_VERSION 2.1,SUCCESS
7773,NURSE RESIDENCY CRITICAL CARE_WEEK 8-GWINNETT-V.2.1,SUCCESS
7774,NURSE RESIDENCY CRITICAL CARE_WEEK 9_VERSION 2.1,SUCCESS
7775,NURSE RESIDENCY CRITICAL CARE_WEEK 9-GWINNETT V.2.1,SUCCESS
7776,NURSE RESIDENCY CRITICAL CARE_WEEK EIGHT_V3E,SUCCESS
7777,NURSE RESIDENCY CRITICAL CARE_WEEK EIGHT_V3NG,SUCCESS
7778,NURSE RESIDENCY CRITICAL CARE_WEEK EIGHTEEN V3NG,SUCCESS
7779,NURSE RESIDENCY CRITICAL CARE_WEEK ELEVEN V3E,SUCCESS
7780,NURSE RESIDENCY CRITICAL CARE_WEEK ELEVEN V3NG,SUCCESS
7781,NURSE RESIDENCY CRITICAL CARE_WEEK ELEVEN V3NG,SUCCESS
7782,NURSE RESIDENCY CRITICAL CARE_WEEK FIFTEEN V3NG,SUCCESS
7783,NURSE RESIDENCY CRITICAL CARE_WEEK FIVE V3NG,SUCCESS
7784,NURSE RESIDENCY CRITICAL CARE_WEEK FOUR V3NG,SUCCESS
7785,NURSE RESIDENCY CRITICAL CARE_WEEK FOUR V3NG,SUCCESS
7786,NURSE RESIDENCY CRITICAL CARE_WEEK FOURTEEN V3NG,SUCCESS
7787,NURSE RESIDENCY CRITICAL CARE_WEEK NINE V3NG,SUCCESS
7788,NURSE RESIDENCY CRITICAL CARE_WEEK NINE_V3E,SUCCESS
7789,NURSE RESIDENCY CRITICAL CARE_WEEK NINETEEN V3NG,SUCCESS
7790,NURSE RESIDENCY CRITICAL CARE_WEEK ONE V3E,SUCCESS
7791,NURSE RESIDENCY CRITICAL CARE_WEEK ONE V3NG,SUCCESS
7792,NURSE RESIDENCY CRITICAL CARE_WEEK ONE V3NG,SUCCESS
7793,NURSE RESIDENCY CRITICAL CARE_WEEK ONE V3NG,SUCCESS
7794,NURSE RESIDENCY CRITICAL CARE_WEEK SEVEN (A)_V3NG,SUCCESS
7795,NURSE RESIDENCY CRITICAL CARE_WEEK SEVEN (B)_V3NG,SUCCESS
7796,NURSE RESIDENCY CRITICAL CARE_WEEK SEVEN (B)_V3NG,SUCCESS
7797,NURSE RESIDENCY CRITICAL CARE_WEEK SEVENTEEN V3NG,SUCCESS
7798,NURSE RESIDENCY CRITICAL CARE_WEEK SIX V3NG,SUCCESS
7799,NURSE RESIDENCY CRITICAL CARE_WEEK SIX_V3E,SUCCESS
7800,NURSE RESIDENCY CRITICAL CARE_WEEK SIX_V3NG,SUCCESS
7801,NURSE RESIDENCY CRITICAL CARE_WEEK SIXTEEN V3NG,SUCCESS
7802,NURSE RESIDENCY CRITICAL CARE_WEEK TEN V3NG,SUCCESS
7803,NURSE RESIDENCY CRITICAL CARE_WEEK TEN_V3,SUCCESS
7804,NURSE RESIDENCY CRITICAL CARE_WEEK THIRTEEN V3NG,SUCCESS
7805,NURSE RESIDENCY CRITICAL CARE_WEEK THREE V3NG,SUCCESS
7806,NURSE RESIDENCY CRITICAL CARE_WEEK TWELVE V3NG,SUCCESS
7807,NURSE RESIDENCY CRITICAL CARE_WEEK TWELVE_V3E,SUCCESS
7808,NURSE RESIDENCY CRITICAL CARE_WEEK TWENTY V3NG,SUCCESS
7809,NURSE RESIDENCY CRITICAL CARE_WEEK TWO V3NG,SUCCESS
7810,NURSE RESIDENCY CRITICAL CARE_WEEK(S) 14 - 23_VERSION 2.1,SUCCESS
7811,NURSE RESIDENCY CRITICAL CARE_WEEKS 21-52 V3NG,SUCCESS
7812,NURSE RESIDENCY EXPERIENCED ACUTE CARE_WEEK FOUR,SUCCESS
