course_id,course_name,status
6825,"LP: GASTROSCHISIS OR OMPHALOCELE CARE, NEONATE",FAIL- No item to select
6826,LP: GASTROSTOMY TUBE REMOVAL,FAIL- No item to select
6827,"LP: GASTROSTOMY TUBE REMOVAL, PEDIATRIC",FAIL- No item to select
6828,LP: GENDER DYSPHORIA ASSESSMENT,FAIL- No item to select
6829,LP: GESTATIONAL DIABETES PATIENT CARE,FAIL- No item to select
6830,"LP: GLUCOSE MONITORING, CONTINUOUS",FAIL- No item to select
6831,"LP: GLUCOSE MONITORING, CONTINUOUS, PEDIATRIC",FAIL- No item to select
6832,"LP: HAZARDOUS CHEMICAL HANDLING, OR",FAIL- No item to select
6833,"LP: HEART SOUNDS AUSCULTATION, NEONATE",FAIL- No item to select
6834,"LP: HEELSTICK, NEONATAL",FAIL- No item to select
6835,"LP: HEMODIALYSIS, DOUBLE-LUMEN CATHETER, DECLOTTING",FAIL- No item to select
6836,"LP: HOUR OF SLEEP CARE, PEDIATRIC",FAIL- No item to select
6837,"LP: HYPERBARIC OXYGEN THERAPY, AMBULATORY CARE",FAIL- No item to select
6838,"LP: IMMEDIATE-USE STEAM STERILIZATION, OR",FAIL- No item to select
6839,LP: IMPLANTED PORT DRESSING CHANGE,FAIL- No item to select
6840,"LP: INFILTRATION AND EXTRAVASATION MANAGEMENT, NEONATE",FAIL- No item to select
6841,"LP: INTERMITTENT (STRAIGHT) UROSTOMY CATHETER INSERTION, PEDIATRIC",FAIL- No item to select
6842,"LP: INTRA-ARTICULAR MEDICATION ADMINISTRATION, ASSISTING",FAIL- No item to select
6843,LP: INTRAPLEURAL MEDICATION ADMINISTRATION,FAIL- No item to select
6844,"LP: INTRATHECAL IMPLANTED PUMP, INTERROGATION AND REFILL, AMBULATORY CARE",FAIL- No item to select
6845,"LP: INTRAVASCULAR ULTRASOUND, ASSISTING",FAIL- No item to select
6846,"LP: ISOLATION PRECAUTIONS, LONG-TERM CARE",FAIL- No item to select
6847,"LP: IV PROSTAGLANDIN E1 ADMINISTRATION, NEONATAL",FAIL- No item to select
6848,"LP: LARYNGEAL MASK AIRWAY INSERTION, NEONATE",FAIL- No item to select
6849,LP: LARYNGECTOMY STOMA CARE,FAIL- No item to select
6850,"LP: BLADDER IRRIGATION, CONTINUOUS, HOME CARE",FAIL- No item to select
6851,"LP: LEADLESS PACEMAKER INSERTION, ASSISTING",FAIL- No item to select
6852,LP: LEECH THERAPY,FAIL- No item to select
6853,LP: LEFT HEART CATHETERIZATION INTRAPROCEDURE CARE,FAIL- No item to select
6854,LP: LEFT HEART CATHETERIZATION POSTPROCEDURE CARE,FAIL- No item to select
6855,LP: LEFT HEART CATHETERIZATION PREPROCEDURE CARE,FAIL- No item to select
6856,LP: LOCAL ANESTHESIA PATIENT CARE,FAIL- No item to select
6857,LP: LONG-ACTING INJECTABLE ANTIPSYCHOTIC MEDICATION ADMINISTRATION,FAIL- No item to select
6858,LP: MEDICATION RECONCILIATION,FAIL- No item to select
6859,LP: NASAL DECOLONIZATION,FAIL- No item to select
6860,"LP: NASOGASTRIC OR OROGASTRIC TUBE INSERTION, NEONATE",FAIL- No item to select
6861,"LP: NASOGASTRIC OR OROGASTRIC TUBE MONITORING, NEONATE",FAIL- No item to select
6862,"LP: NASOGASTRIC OR OROGASTRIC TUBE REMOVAL, NEONATE",FAIL- No item to select
6863,"LP: NASOGASTRIC TUBE IRRIGATION, PEDIATRIC",FAIL- No item to select
6864,"LP: NASOPHARYNGEAL SPECIMEN COLLECTION, PEDIATRIC",FAIL- No item to select
6865,"LP: OPIOID USE DISORDER PATIENT CARE, PERIOPERATIVE",FAIL- No item to select
6866,LP: ORAL MEDICATION ADHERENCE,FAIL- No item to select
6867,"LP: PAIN MANAGEMENT, AMBULATORY CARE",FAIL- No item to select
6868,LP: PALLIATIVE SEDATION,FAIL- No item to select
6869,LP: PARENTAL PRESENCE IN THE OR,FAIL- No item to select
6870,LP: PATIENT MILIEU MANAGEMENT,FAIL- No item to select
6871,"LP: PENTAMIDINE ADMINISTRATION, INHALATION, RESPIRATORY THERAPY",FAIL- No item to select
6872,"LP: PERCUTANEOUS LIVER BIOPSY, ASSISTING, PEDIATRIC",FAIL- No item to select
6873,"LP: PERCUTANEOUS NEPHROSTOMY TUBE INSERTION, ASSISTING",FAIL- No item to select
6874,"LP: PERIPHERAL NERVE BLOCK PATIENT CARE, PREOPERATIVE",FAIL- No item to select
6875,LP: PESSARY MANAGEMENT (ADVANCED PRACTICE),FAIL- No item to select
6876,"LP: POSTPARTUM ASSESSMENT, HOME CARE",FAIL- No item to select
6877,LP: POSTTRAUMATIC STRESS DISORDER ASSESSMENT,FAIL- No item to select
6878,"LP: PRESSURE INJURY PREVENTION, NEONATE",FAIL- No item to select
6879,"LP: PRESSURE INJURY PREVENTION, PEDIATRIC",FAIL- No item to select
6880,LP: PRONE POSITIONING FOR THE AWAKE PATIENT,FAIL- No item to select
6881,LP: RADIAL ARTERY ACCESS CARE,FAIL- No item to select
6882,"LP: RADIATION SAFETY, OR",FAIL- No item to select
6883,LP: RIGHT HEART CATHETERIZATION INTRAPROCEDURE CARE,FAIL- No item to select
6884,LP: RIGHT HEART CATHETERIZATION POSTPROCEDURE CARE,FAIL- No item to select
6885,LP: RIGHT HEART CATHETERIZATION PREPROCEDURE CARE,FAIL- No item to select
6886,"LP: RIGID CONTAINER SYSTEM USE, OR",FAIL- No item to select
6887,"LP: SAFE SLEEP MANAGEMENT, NEONATE",FAIL- No item to select
6888,"LP: SCLEROTHERAPY, ASSISTING",FAIL- No item to select
6889,"LP: SELF-INJURIOUS BEHAVIOR MANAGEMENT, PSYCHIATRIC PATIENT",FAIL- No item to select
6890,"LP: SEPSIS, EMERGENCY PATIENT CARE, PEDIATRIC",FAIL- No item to select
6891,"LP: SIX-MINUTE WALK TEST, AMBULATORY CARE",FAIL- No item to select
6892,LP: SKIN ASSESSMENT,FAIL- No item to select
6893,"LP: SKIN CARE, NEONATE",FAIL- No item to select
6894,"LP: STERILIZATION, HYDROGEN PEROXIDE",FAIL- No item to select
6895,"LP: STOMA CARE, NEONATE",FAIL- No item to select
6896,"LP: STRESS ECHOCARDIOGRAM, ASSISTING",FAIL- No item to select
6897,"LP: STRESS ELECTROCARDIOGRAM (ECG), ASSISTING",FAIL- No item to select
6898,"LP: SURFACTANT REPLACEMENT THERAPY, NEONATAL",FAIL- No item to select
6899,"LP: SURGICAL INSTRUMENT HANDLING AND CARE, OR",FAIL- No item to select
6900,"LP: TRACHEOSTOMY TIES CHANGE, NEONATE",FAIL- No item to select
6901,"LP: TRACHEOSTOMY TUBE CHANGE, NEONATE",FAIL- No item to select
6902,"LP: TRANSCUTANEOUS PACING, NEONATAL",FAIL- No item to select
6903,"LP: TRAUMA ASSESSMENT, PSYCHIATRIC PATIENT",FAIL- No item to select
6904,LP: UMBILICAL CORD TISSUE TOXICOLOGY SPECIMEN COLLECTION,FAIL- No item to select
6905,"LP: URETERAL STENT INSERTION, ASSISTING",FAIL- No item to select
6906,"LP: UROSTOMY CARE, PEDIATRIC",FAIL- No item to select
