course_id,course_name,status
11,RADIOACTIVE SEED LOCALIZATION,REVIEW- More than one item
12,RCT:  OBTAINING PATIENT'S PRIMARY CARE PHYSICIAN,SUCCESS
13,RCT: BEHAVIORAL HEALTH SCHEDULING CBL,FAIL- No item to select
14,RCT: BUSINESS OFFICE BASICS (BOB) FY21,SUCCESS
15,RCT: CARDIAC REHAB SCHEDULING CBL,FAIL- No item to select
16,RCT: CARDIOLOGY SCHEDULING CBL,FAIL- No item to select
17,RCT: CENTER FOR PERINATAL MEDICINE SCHEDULING CBL,FAIL- No item to select
18,RCT: DIABETES EDUCATION AND NUTRITION SCHEDULING CBL,SUCCESS
19,RCT: ED NEW HIRE CBL ACF,SUCCESS
20,RCT: INFUSION SCHEDULING CBL,SUCCESS
21,BANCPAY APPROVER: HOW TO APPROVE AN INVOICE,FAIL- No item to select
22,RCT: LABOR AND DELIVERY NEW HIRE CBL ACF,SUCCESS
23,RCT: LACTATION SCHEDULING CBL,SUCCESS
24,RCT: MEDMETRIX TRAINING - DASHBOARD,SUCCESS
25,RCT: MEDMETRIX_COMMERCIAL BILLING,SUCCESS
26,RCT: MEDMETRIX_COMMERCIAL COLLECTIONS,SUCCESS
27,RCT: MEDMETRIX_CONTRACT VIEWER,SUCCESS
28,RCT: MEDMETRIX_CPPD EXCEPTIONS,SUCCESS
29,RCT: MEDMETRIX_CPPD REFUNDS,REVIEW- More than one item
30,RCT: MEDMETRIX_CURRENT TEAM,SUCCESS
31,RCT: MEDMETRIX_CUSTOMER SERVICE,SUCCESS
32,BANCPAY REVIEWER: HOW TO REVIEW AN INVOICE,FAIL- No item to select
33,RCT: MEDMETRIX_DENIAL MANAGEMENT,SUCCESS
34,RCT: MEDMETRIX_FC REPORTING,SUCCESS
35,RCT: MEDMETRIX_FINANCIAL ASSISTANCE,SUCCESS
36,RCT: MEDMETRIX_FINANCIAL COUNSELING,SUCCESS
37,RCT: MEDMETRIX_INTRODUCTION TO MEDMETRIX,SUCCESS
38,RCT: MEDMETRIX_MEDICAID CMO BILLING,SUCCESS
39,RCT: MEDMETRIX_MEDICAID CMO COLLECTIONS,SUCCESS
40,RCT: MEDMETRIX_MEDICAID TRADITIONAL BILLING,SUCCESS
41,RCT: MEDMETRIX_MEDICAID TRADITIONAL COLLECTIONS,SUCCESS
42,RCT: MEDMETRIX_MEDICARE HMO BILLING,SUCCESS
43,BASICS OF PACEMAKERS AND ICDS FOR RADIATION ONCOLOGY NURSING,REVIEW- More than one item
44,RCT: MEDMETRIX_MEDICARE HMO COLLECTIONS,REVIEW- More than one item
45,RCT: MEDMETRIX_MEDICARE TRADITIONAL BILLING,SUCCESS
46,RCT: MEDMETRIX_MEDICARE TRADITIONAL COLLECTIONS,SUCCESS
47,RCT: MEDMETRIX_POST TEAM,SUCCESS
48,RCT: MEDMETRIX_PRE-REGISTRATION MATERNITY,SUCCESS
49,RCT: MEDMETRIX_PRE-REGISTRATION RADIOLOGY,SUCCESS
50,RCT: MEDMETRIX_PRE-REGISTRATION SLEEP STUDY,SUCCESS
51,RCT: MEDMETRIX_PRE-REGISTRATION SURGERY,SUCCESS
52,RCT: MEDMETRIX_PRETEAM,SUCCESS
53,RCT: MEDMETRIX_ROOM CONTROL,SUCCESS
54,BE IN THE KNOW WITH NSH,SUCCESS
55,RCT: MEDMETRIX_SELF PAY COLLECTIONS,SUCCESS
56,RCT: MRO MEDICAL RECORDS REQUEST CBL,FAIL- No item to select
57,RCT: MY ABILITY TRAINING CBL,SUCCESS
58,RCT: NEURODIAGNOSTICS SCHEDULING CBL,SUCCESS
59,RCT: NEWBORN ADMISSION CBL,SUCCESS
60,RCT: NEWBORN REGISTRATION TRAINING FOR UCS,SUCCESS
61,RCT: NUTRITION SCHEDULING CBL,SUCCESS
62,RCT: PAIN AND SPINE SCHEDULING CBL,FAIL- No item to select
63,RCT: PATIENT SELECTION & DUPLICATE FIN PREVENTION IN SCHAPPTBOOK,SUCCESS
64,RCT: PFS REMOTE ACCESS,SUCCESS
65,COMPASSION FATIGUE,SUCCESS
66,RCT: PULMONARY REHAB SCHEDULING CBL,SUCCESS
67,RCT: RADIOLOGY SCHEDULING CBL,SUCCESS
68,RCT: REHAB SCHEDULING CBL,FAIL- No item to select
69,RCT: RIGHTFAX CBL,SUCCESS
70,RCT: SURGERY SCHEDULING CBL,FAIL- No item to select
71,RCT:MEDMETRIX_AUDIT,SUCCESS
72,RCT:MEDMETRIX_GPPD,SUCCESS
73,RCT_GMC MEDMETRIX_PRE AUTH,SUCCESS
74,RCTA AMBULATORY APPOINTMENT PLUS,SUCCESS
75,RCTA AMBULATORY COMPLETING APPOINTMENT REQUESTS IN CPM,SUCCESS
76,CONFIDENTIALITY / SECURITY OF INFORMATION & COMPUTER ACCESS CODE AGREEMENT (EMPLOYEE),SUCCESS
77,RCTA AMBULATORY CPM SCHEDULING & REGISTRATION UNIVERSITY  QUIZ,SUCCESS
78,RCTA AMBULATORY INSURANCE UNIVERSITY QUIZ,SUCCESS
79,RCTA AMBULATORY PATIENT SATISFACTION AND COMPLIANCE CBL,SUCCESS
80,RCTA AMBULATORY PATIENTCO TEXT-TO-PAY CBL,SUCCESS
81,RCTA AMBULATORY PATIENTCO USER WORKFLOW COLLECTING PATIENT PAYMENTS CBL,SUCCESS
82,RCTA AMBULATORY PCP MODULE,SUCCESS
83,RCTA AMBULATORY WORKING THE RESCHEDULE REQUESTS QUEUE IN CPM,SUCCESS
84,RCTA GMG PATIENT REGISTRATION & FINANCIAL PROCESSES,SUCCESS
85,RCTA PATIENTCO PRACTICE COORDINATOR CBL,REVIEW- More than one item
86,RCTA PATIENTCO PRACTICE COORDINATOR QUIZ,SUCCESS
87,COVID-19 OB ORDER SETS TRAINING 2020,REVIEW- More than one item
88,RCTA PATIENTCO USER WORKFLOW COLLECTING PATIENT PAYMENTS ASSESSMENT,SUCCESS
89,RCTA PATIENTCO USER WORKFLOW COLLECTING PATIENT PAYMENTS TEST,SUCCESS
90,RCTA PBS MRO MEDICAL RECORDS REQUEST PROCESS CBL,SUCCESS
91,SCN - CREATING AN EXCEPTIONAL PATIENT EXPERIENCE,REVIEW- More than one item
92,SHILEY FLEXIBLE ADULT TRACHEOSTOMY TUBES,REVIEW- More than one item
93,"STRYKER S3 EDUCATION: BED ALARM, SCALE, AND IBED FUNCTION",REVIEW- More than one item
94,STRYKER: SURGICOUNT TABLET (GEN 2),REVIEW- More than one item
95,SUCCESSFACTORS SYSTEM TRAINING 2021,REVIEW- More than one item
96,SURGICAL SERVICES: DOCUMENTING IV FLUIDS POSTOP,SUCCESS
97,SWABBING NEWBORNS FOR COVID,REVIEW- More than one item
98,COVID-19 RESPIRATORY SUPPORT - CHEROKEE ONLY,SUCCESS
99,TEMPORARY TELECOMMUTING GUIDELINES,REVIEW- More than one item
101,TIME KEEPING,SUCCESS
102,TIMELESS 101: INTRODUCTION,REVIEW- More than one item
103,TIMELESS 102: LABEL PRINTING,REVIEW- More than one item
104,TIMELESS 103: RECEIVE MILK/PRODUCTS,REVIEW- More than one item
105,TIMELESS 104: SIMPLE PREPARE,REVIEW- More than one item
106,TIMELESS 105: ADVANCED PREPARE INTRODUCTION,REVIEW- More than one item
107,TIMELESS 106: ADVANCED PREPARE,REVIEW- More than one item
108,COVID-19 TRAINING PROGRAM (ATLANTA/CHEROKEE/FORSYTH),REVIEW- More than one item
109,TIMELESS 107: FEEDING,REVIEW- More than one item
110,TIMELESS 108: MOVE BOTTLES/PRODUCT,REVIEW- More than one item
111,TIMELESS 109: MILK/PRODUCT DISPOSAL AND DISCHARGE,REVIEW- More than one item
112,TIMELESS 110: BAGS/BINS,REVIEW- More than one item
113,TIMELESS 111: MOTHER FEATURES,REVIEW- More than one item
114,TIMELESS 112: FEED CONSENTS,REVIEW- More than one item
115,TIMELESS 113: MANAGE COMMUNITY ORDER,REVIEW- More than one item
116,TIMELESS 114: ADMIN MANAGEMENT,REVIEW- More than one item
117,TIMELESS 115: PRODUCT MANAGEMENT,REVIEW- More than one item
118,TOTAL JOINT REPLACEMENT,SUCCESS
119,CREDENTIALING PROCESS ? APE,SUCCESS
120,TOTAL JOINT REPLACEMENT CLASS,REVIEW- More than one item
121,TRALIANT_LMS_TEST_COURSE_072220_SCORM12,REVIEW- More than one item
122,TRALIANT_LMS_TEST_COURSE_072220_SCORM20043RD,SUCCESS
123,UMANO BED TRAINING VIDEO,REVIEW- More than one item
124,UMANO OOK SNOW BED EDUCATION,REVIEW- More than one item
125,WAVE ONBOARDING REPORT TUTORIAL,REVIEW- More than one item
126,WOMEN AND STROKE 2021 SESSION 1: NEUROPROTECTION FOR STROKE THROMBECTOMY; WHAT ROLE DO CAROTID WEBS PLAY IN ISCHEMIC STROKE?,SUCCESS
127,WOMEN AND STROKE 2021 SESSION 2: GRADY MOBILE STROKE UNIT; CRYPTOGENIC STROKE TREATMENT,SUCCESS
