nl_course_id,docebo_id,docebo_code,Test_ID,Ques_ID,sequence,question_text,QuesAns_ID,answer_sequence,answer_text,correct
19496,1792,Elearning-0000-844,n13555,n61653,0,The primary RN should assist with the NIHSS during Telestroke.,n204977,0,TRUE,1
19496,1792,Elearning-0000-844,n13555,n61653,1,The primary RN should assist with the NIHSS during Telestroke.,n204978,1,FALSE,0
19848,1793,Elearning-0000-845,n13866,n62764,0,"For questions about these statements, contact your manager or clinician.<br><br> I have reviewed the ""2021 STROKE FOR RT CBL"" content.<br> I understand that I am responsible for the information.<br> I know where and how to get my questions answered about this topic.<br> I understand that I should stop in the face of uncertainty and ask for clarification.<br>",n209000,0,TRUE,1
19848,1793,Elearning-0000-845,n13866,n62764,1,"For questions about these statements, contact your manager or clinician.<br><br> I have reviewed the ""2021 STROKE FOR RT CBL"" content.<br> I understand that I am responsible for the information.<br> I know where and how to get my questions answered about this topic.<br> I understand that I should stop in the face of uncertainty and ask for clarification.<br>",n209001,1,FALSE,0
19440,1794,Elearning-0000-846,n13508,n60445,0,"For questions about these statements, contact your manager or clinician.<br><br> I have reviewed the ""FY2021 Sterility Verification"" CBL content.<br> I understand that I am responsible for the information.<br> I know where and how to get my questions answered about this topic.<br> I understand that I should stop in the face of uncertainty and ask for clarification.<br>",n200638,0,TRUE,1
19440,1794,Elearning-0000-846,n13508,n60445,1,"For questions about these statements, contact your manager or clinician.<br><br> I have reviewed the ""FY2021 Sterility Verification"" CBL content.<br> I understand that I am responsible for the information.<br> I know where and how to get my questions answered about this topic.<br> I understand that I should stop in the face of uncertainty and ask for clarification.<br>",n200639,1,FALSE,0
19860,1795,Elearning-0000-847,n13876,n62788,0,"For questions about these statements, contact your manager or clinician.<br><br> I have reviewed the ""FY2021 Surgical Services: Culture of Safety, Accountability and Professionalism"" CBL content.<br> I understand that I am responsible for the information.<br> I know where and how to get my questions answered about this topic.<br> I understand that I should stop in the face of uncertainty and ask for clarification.<br>",n209085,0,TRUE,1
19860,1795,Elearning-0000-847,n13876,n62788,1,"For questions about these statements, contact your manager or clinician.<br><br> I have reviewed the ""FY2021 Surgical Services: Culture of Safety, Accountability and Professionalism"" CBL content.<br> I understand that I am responsible for the information.<br> I know where and how to get my questions answered about this topic.<br> I understand that I should stop in the face of uncertainty and ask for clarification.<br>",n209086,1,FALSE,0
20106,1796,Elearning-0000-848,n14084,n64597,0,Timely recognition and treatment are key to preventing sepsis mortality.,n215713,0,a. True,1
20106,1796,Elearning-0000-848,n14084,n64597,1,Timely recognition and treatment are key to preventing sepsis mortality.,n215714,1,b. False,0
20106,1796,Elearning-0000-848,n14084,n64598,0,All of the following are sign and symptoms of sepsis <u>except</u>:,n215715,0,"a.	Extreme pain or discomfort",0
20106,1796,Elearning-0000-848,n14084,n64598,1,All of the following are sign and symptoms of sepsis <u>except</u>:,n215716,1,"b.	Mental changes",0
20106,1796,Elearning-0000-848,n14084,n64598,2,All of the following are sign and symptoms of sepsis <u>except</u>:,n215717,2,"c.	Tachypnea",0
20106,1796,Elearning-0000-848,n14084,n64598,3,All of the following are sign and symptoms of sepsis <u>except</u>:,n215718,3,"d.	Bradycardia",1
20106,1796,Elearning-0000-848,n14084,n64598,4,All of the following are sign and symptoms of sepsis <u>except</u>:,n215719,4,"e.	Shivering, fever, or very cold",0
20106,1796,Elearning-0000-848,n14084,n64599,0,"Systemic Inflammatory Response Syndrome (SIRS) criteria include all of the following, <u>except</u>:",n215720,0,"a.	Temperature >101.0┬░ F/38.3┬░ C, or <96.8┬░ F/36┬░ C",0
20106,1796,Elearning-0000-848,n14084,n64599,1,"Systemic Inflammatory Response Syndrome (SIRS) criteria include all of the following, <u>except</u>:",n215721,1,"b.	Lactate> 2",1
20106,1796,Elearning-0000-848,n14084,n64599,2,"Systemic Inflammatory Response Syndrome (SIRS) criteria include all of the following, <u>except</u>:",n215722,2,"c.	Tachycardia (HR >90)",0
20106,1796,Elearning-0000-848,n14084,n64599,3,"Systemic Inflammatory Response Syndrome (SIRS) criteria include all of the following, <u>except</u>:",n215723,3,"d.	Tachypnea (RR >20)",0
20106,1796,Elearning-0000-848,n14084,n64599,4,"Systemic Inflammatory Response Syndrome (SIRS) criteria include all of the following, <u>except</u>:",n215724,4,"e.	WBC >12,000 or <4,000",0
20106,1796,Elearning-0000-848,n14084,n64600,0,Severe sepsis is defined as:,n215725,0,"a.	Confirmed infection + 1 SIRS criteria + 2 organ dysfunction",0
20106,1796,Elearning-0000-848,n14084,n64600,1,Severe sepsis is defined as:,n215726,1,"b.	Confirmed infection + 2 SIRS criteria + 1 organ dysfunction",0
20106,1796,Elearning-0000-848,n14084,n64600,2,Severe sepsis is defined as:,n215727,2,"c.	Suspected infection + 2 SIRS criteria + 1 organ dysfunction",1
20106,1796,Elearning-0000-848,n14084,n64600,3,Severe sepsis is defined as:,n215728,3,"d.	Suspected infection + 1 SIRS criteria + 2 organ dysfunction",0
20106,1796,Elearning-0000-848,n14084,n64601,0,True or False: The sepsis bundle time zero starts at the time the patient meets clinical criteria or when a provider documents 'severe sepsis' in the patient's chart.,n215729,0,a. True,1
20106,1796,Elearning-0000-848,n14084,n64601,1,True or False: The sepsis bundle time zero starts at the time the patient meets clinical criteria or when a provider documents 'severe sepsis' in the patient's chart.,n215730,1,b. False,0
20106,1796,Elearning-0000-848,n14084,n64602,0,"A 55 y.o. female patient admitted with UTI presents with the following: <br> Admitting Vitals: HR 94, RR 20, T: 38, BP 104/65, P02: 98% RA<br> WBC -15.8<br> Creatinine 2.5<br> Based on these results the patient:<br>",n215731,0,"a.	Meets only SIRS criteria and should be monitored further",0
20106,1796,Elearning-0000-848,n14084,n64602,1,"A 55 y.o. female patient admitted with UTI presents with the following: <br> Admitting Vitals: HR 94, RR 20, T: 38, BP 104/65, P02: 98% RA<br> WBC -15.8<br> Creatinine 2.5<br> Based on these results the patient:<br>",n215732,1,"b.	Is stable and no further needs are necessary",0
20106,1796,Elearning-0000-848,n14084,n64602,2,"A 55 y.o. female patient admitted with UTI presents with the following: <br> Admitting Vitals: HR 94, RR 20, T: 38, BP 104/65, P02: 98% RA<br> WBC -15.8<br> Creatinine 2.5<br> Based on these results the patient:<br>",n215733,2,"c.	Should receive IV abx for UTI and continue to monitor",0
20106,1796,Elearning-0000-848,n14084,n64602,3,"A 55 y.o. female patient admitted with UTI presents with the following: <br> Admitting Vitals: HR 94, RR 20, T: 38, BP 104/65, P02: 98% RA<br> WBC -15.8<br> Creatinine 2.5<br> Based on these results the patient:<br>",n215734,3,"d.	Meets severe sepsis criteria and the provider should be notified for further orders.",1
