course_id,course_code,docebo_code,course_name_input,course_name,test_id,test_name,type,question_title,answer_title,is_correct,score_if_correct,status,message,updated
9344,,Elearning-0000-59,AGE APPROPRIATE CARE - GERIATRICS,,n1060,,choice_multiple,Patient care measures for geriatric patients include which of the following?,Use safety measures to prevent physical injuries,True,50.0,,,False
9344,,Elearning-0000-59,AGE APPROPRIATE CARE - GERIATRICS,,n1060,,choice_multiple,Patient care measures for geriatric patients include which of the following?,All of the above are geriatric patient care measur,False,0,,,False
9344,,Elearning-0000-59,AGE APPROPRIATE CARE - GERIATRICS,,n1060,,choice_multiple,Patient care measures for geriatric patients include which of the following?,"Do not provide direct, supportive care.",False,0,,,False
9344,,Elearning-0000-59,AGE APPROPRIATE CARE - GERIATRICS,,n1060,,choice_multiple,Patient care measures for geriatric patients include which of the following?,"Allow adequate time for decision making, verbal expression, and activities.",True,50.0,,,False
9344,,Elearning-0000-59,AGE APPROPRIATE CARE - GERIATRICS,,n1060,,choice_multiple,Patient care measures for geriatric patients include which of the following?,Discourage patients from participating in as many activities as possible.,False,0,,,False
9344,,Elearning-0000-59,AGE APPROPRIATE CARE - GERIATRICS,,n1060,,choice_multiple,Patient care measures for geriatric patients include which of the following?,Discourage visits from family and significant others,False,0,,,False
9344,,Elearning-0000-59,AGE APPROPRIATE CARE - GERIATRICS,,n1060,,choice_multiple,Patient care measures for geriatric patients include which of the following?,Use safety measures to prevent physical injuries,True,50.0,,,False
9344,,Elearning-0000-59,AGE APPROPRIATE CARE - GERIATRICS,,n1060,,choice_multiple,Patient care measures for geriatric patients include which of the following?,All of the above are geriatric patient care measur,False,0,,,False
9344,,Elearning-0000-59,AGE APPROPRIATE CARE - GERIATRICS,,n1060,,choice_multiple,Patient care measures for geriatric patients include which of the following?,"Do not provide direct, supportive care.",False,0,,,False
9344,,Elearning-0000-59,AGE APPROPRIATE CARE - GERIATRICS,,n1060,,choice_multiple,Patient care measures for geriatric patients include which of the following?,"Allow adequate time for decision making, verbal expression, and activities.",True,50.0,,,False
9344,,Elearning-0000-59,AGE APPROPRIATE CARE - GERIATRICS,,n1060,,choice_multiple,Patient care measures for geriatric patients include which of the following?,Discourage patients from participating in as many activities as possible.,False,0,,,False
9344,,Elearning-0000-59,AGE APPROPRIATE CARE - GERIATRICS,,n1060,,choice_multiple,Patient care measures for geriatric patients include which of the following?,Never obtain assistive devices such as walkers and magnifying glasses,False,0,,,False
9344,,Elearning-0000-59,AGE APPROPRIATE CARE - GERIATRICS,,n1060,,choice_multiple,Patient care measures for geriatric patients include which of the following?,Discourage visits from family and significant others,False,0,,,False
9344,,Elearning-0000-59,AGE APPROPRIATE CARE - GERIATRICS,,n1060,,choice_multiple,Patient care measures for geriatric patients include which of the following?,Use safety measures to prevent physical injuries,True,50.0,,,False
9344,,Elearning-0000-59,AGE APPROPRIATE CARE - GERIATRICS,,n1060,,choice_multiple,Patient care measures for geriatric patients include which of the following?,All of the above are geriatric patient care measur,False,0,,,False
9344,,Elearning-0000-59,AGE APPROPRIATE CARE - GERIATRICS,,n1060,,choice_multiple,Patient care measures for geriatric patients include which of the following?,"Do not provide direct, supportive care.",False,0,,,False
9344,,Elearning-0000-59,AGE APPROPRIATE CARE - GERIATRICS,,n1060,,choice_multiple,Patient care measures for geriatric patients include which of the following?,"Allow adequate time for decision making, verbal expression, and activities.",True,50.0,,,False
9344,,Elearning-0000-59,AGE APPROPRIATE CARE - GERIATRICS,,n1060,,choice_multiple,Patient care measures for geriatric patients include which of the following?,Discourage patients from participating in as many activities as possible.,False,0,,,False
