course_id,course_code,docebo_code,course_name_input,course_name,test_id,test_name,type,question_title,answer_title,is_correct,score_if_correct,status,message,updated
9854,,Questions-0000-145,SCN CLINICAL UPDATE 2021- SESSION II (EVALUATION SURVEY) NSA 8.11.21,,n14068,,choice,Please list the location for this activity.,Atlanta,False,0,FAIL DUPLICATE TEST: 200,Duplicate Test. Existing test is SCN CLINICAL UPDATE 2021- SESSION II (EVALUATION SURVEY) NSA 8.11.21- g14068,False
9854,,Questions-0000-145,SCN CLINICAL UPDATE 2021- SESSION II (EVALUATION SURVEY) NSA 8.11.21,,n14068,,choice,Please list the location for this activity.,Atlanta,False,0,FAIL DUPLICATE TEST: 200,Duplicate test,False
9854,,Questions-0000-145,SCN CLINICAL UPDATE 2021- SESSION II (EVALUATION SURVEY) NSA 8.11.21,,n14068,,choice,Please list the location for this activity.,Cherokee,False,0,FAIL DUPLICATE TEST: 200,Duplicate test,False
9854,,Questions-0000-145,SCN CLINICAL UPDATE 2021- SESSION II (EVALUATION SURVEY) NSA 8.11.21,,n14068,,choice,Please list the location for this activity.,Forsyth,False,0,FAIL DUPLICATE TEST: 200,Duplicate test,False
9854,,Questions-0000-145,SCN CLINICAL UPDATE 2021- SESSION II (EVALUATION SURVEY) NSA 8.11.21,,n14068,,choice,Please list the location for this activity.,Other,False,0,FAIL DUPLICATE TEST: 200,Duplicate test,False
9854,,Questions-0000-145,SCN CLINICAL UPDATE 2021- SESSION II (EVALUATION SURVEY) NSA 8.11.21,,n14068,,choice,"<ol><b>LEARNING OBJECTIVES</b></ol> <ol>After attending this activity, I am better able to identify neonates with serious heart disease.</ol>",Strongly Agree,False,0,FAIL DUPLICATE TEST: 200,Duplicate test,False
9854,,Questions-0000-145,SCN CLINICAL UPDATE 2021- SESSION II (EVALUATION SURVEY) NSA 8.11.21,,n14068,,choice,"<ol><b>LEARNING OBJECTIVES</b></ol> <ol>After attending this activity, I am better able to identify neonates with serious heart disease.</ol>",Agree,False,0,FAIL DUPLICATE TEST: 200,Duplicate test,False
9854,,Questions-0000-145,SCN CLINICAL UPDATE 2021- SESSION II (EVALUATION SURVEY) NSA 8.11.21,,n14068,,choice,"<ol><b>LEARNING OBJECTIVES</b></ol> <ol>After attending this activity, I am better able to identify neonates with serious heart disease.</ol>",No Opinion,False,0,FAIL DUPLICATE TEST: 200,Duplicate test,False
9854,,Questions-0000-145,SCN CLINICAL UPDATE 2021- SESSION II (EVALUATION SURVEY) NSA 8.11.21,,n14068,,choice,"<ol><b>LEARNING OBJECTIVES</b></ol> <ol>After attending this activity, I am better able to identify neonates with serious heart disease.</ol>",Disagree,False,0,FAIL DUPLICATE TEST: 200,Duplicate test,False
9854,,Questions-0000-145,SCN CLINICAL UPDATE 2021- SESSION II (EVALUATION SURVEY) NSA 8.11.21,,n14068,,choice,"<ol><b>LEARNING OBJECTIVES</b></ol> <ol>After attending this activity, I am better able to identify neonates with serious heart disease.</ol>",Strongly Disagree,False,0,FAIL DUPLICATE TEST: 200,Duplicate test,False
