course_id,course_code,docebo_code,course_name_input,course_name,test_id,test_name,type,question_title,answer_title,is_correct,score_if_correct,status,message,updated
9380,Elearning-0000-622,Elearning-0000-622,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020,g9862,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020- g9862,choice,Which of the following describes indirect/unconjugated bilirubin?,Fat soluble,TRUE,100,SUCCESS: 200,"New Test with ID 39 has been created. New Question with ID 262 has been created (Test ID 39). New Answer with ID 1238 has been created (Test ID 39, Question ID 262).",TRUE
9380,Elearning-0000-622,Elearning-0000-622,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020,g9862,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020- g9862,choice,Which of the following describes indirect/unconjugated bilirubin?,Non-toxic,FALSE,0,SUCCESS: 200,"New Answer with ID 1239 has been created (Test ID 39, Question ID 262).",TRUE
9380,Elearning-0000-622,Elearning-0000-622,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020,g9862,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020- g9862,choice,Which of the following describes indirect/unconjugated bilirubin?,Water soluble,FALSE,0,SUCCESS: 200,"New Answer with ID 1240 has been created (Test ID 39, Question ID 262).",TRUE
9380,Elearning-0000-622,Elearning-0000-622,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020,g9862,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020- g9862,choice,Which of the following describes indirect/unconjugated bilirubin?,Excreted in the urine and stool,FALSE,0,SUCCESS: 200,"New Answer with ID 1241 has been created (Test ID 39, Question ID 262).",TRUE
9380,Elearning-0000-622,Elearning-0000-622,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020,g9862,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020- g9862,choice,Which of the following describes direct/conjugated bilirubin?,Water soluble,FALSE,0,SUCCESS: 200,"New Question with ID 263 has been created (Test ID 39). New Answer with ID 1242 has been created (Test ID 39, Question ID 263).",TRUE
9380,Elearning-0000-622,Elearning-0000-622,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020,g9862,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020- g9862,choice,Which of the following describes direct/conjugated bilirubin?,Non-toxic,FALSE,0,SUCCESS: 200,"New Answer with ID 1243 has been created (Test ID 39, Question ID 263).",TRUE
9380,Elearning-0000-622,Elearning-0000-622,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020,g9862,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020- g9862,choice,Which of the following describes direct/conjugated bilirubin?,Excreted from the liver as a component of bile,FALSE,0,SUCCESS: 200,"New Answer with ID 1244 has been created (Test ID 39, Question ID 263).",TRUE
9380,Elearning-0000-622,Elearning-0000-622,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020,g9862,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020- g9862,choice,Which of the following describes direct/conjugated bilirubin?,All of the above,TRUE,100,SUCCESS: 200,"New Answer with ID 1245 has been created (Test ID 39, Question ID 263).",TRUE
9380,Elearning-0000-622,Elearning-0000-622,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020,g9862,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020- g9862,choice,If you see jaundice before the infant is 24 hours of age it is pathological jaundice.,TRUE,TRUE,100,SUCCESS: 200,"New Question with ID 264 has been created (Test ID 39). New Answer with ID 1246 has been created (Test ID 39, Question ID 264).",TRUE
9380,Elearning-0000-622,Elearning-0000-622,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020,g9862,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020- g9862,choice,If you see jaundice before the infant is 24 hours of age it is pathological jaundice.,FALSE,FALSE,0,SUCCESS: 200,"New Answer with ID 1247 has been created (Test ID 39, Question ID 264).",TRUE
