nl_id,docebo_id,docebo_code,newTest_ID,newQues_ID,sequence,question_text,newQuesAns_ID,answer_sequence,answer_text,correct,course_name
6995,9812,Questions-0000-107,g3699,g14168,0,Which is not used as a Northside Hospital Patient Identifier??,g77064,0,a) Corporate ID,0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14168,1,Which is not used as a Northside Hospital Patient Identifier??,g77065,1,b) Social Security no.,1,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14168,2,Which is not used as a Northside Hospital Patient Identifier??,g77068,2,c) Medical Record no.,0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14169,0,"Use the ""Account Revision"" function in STAR Financials to revise accounts.",g37401,0,TRUE,1,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14169,1,"Use the ""Account Revision"" function in STAR Financials to revise accounts.",g37402,1,FALSE,0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14170,0,Under which function in STAR would patient's demographics information be found?,g77069,0,a) Medical Information,0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14170,1,Under which function in STAR would patient's demographics information be found?,g77070,1,b) Financial Information,0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14170,2,Under which function in STAR would patient's demographics information be found?,g77071,2,c) Admission Information,1,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14171,0,Under which function in STAR will the patient's charges be found?,g77072,0,a) Medical Information,0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14171,1,Under which function in STAR will the patient's charges be found?,g77073,1,b) Financial Information,1,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14171,2,Under which function in STAR will the patient's charges be found?,g77074,2,c) Admission Information,0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14172,0,Under which function in STAR would DRG & diagnosis information be found?,g77075,0,a) Medical Information,1,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14172,1,Under which function in STAR would DRG & diagnosis information be found?,g77076,1,b) Financial Information,0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14172,2,Under which function in STAR would DRG & diagnosis information be found?,g77077,2,c) Admission Information,0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14173,0,"To manually type a note into STAR, which of the following is correct?",g77078,0,a) Manual notes are not allowed in STAR Notes,0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14173,1,"To manually type a note into STAR, which of the following is correct?",g77079,1,"b) Go to Account Notes, Type ""S"", and enter a Standard Note Code",0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14173,2,"To manually type a note into STAR, which of the following is correct?",g77080,2,"c) Go to Account Notes, Type ""F"", and enter a Free Form Note",1,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14174,0,Transaction History in STAR contains the following:,g77081,0,a) All Payments and Adjustments,0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14174,1,Transaction History in STAR contains the following:,g77082,1,b) All additions and removals of Insurances,0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14174,2,Transaction History in STAR contains the following:,g77083,2,c) All of the above,1,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14175,0,"From the STAR Patient Account home Screen, to pull a list of ""shortcuts"" enter this punctuation?",g77084,0,"a) ""."" (Period)",0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14175,1,"From the STAR Patient Account home Screen, to pull a list of ""shortcuts"" enter this punctuation?",g77085,1,"b) ""/P"" (Forward Slash + P)",0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14175,2,"From the STAR Patient Account home Screen, to pull a list of ""shortcuts"" enter this punctuation?",g77086,2,"c) ""-"" (Hyphen)",1,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14176,0,The equals sign (=) may be used on the STAR Account Search Screen to return to the last account number entered into STAR.,g77087,0,TRUE,1,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14176,1,The equals sign (=) may be used on the STAR Account Search Screen to return to the last account number entered into STAR.,g77088,1,FALSE,0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14177,0,What key strokes are entered to display the previous screen in STAR?,g77089,0,a) F7 or Period (.) Enter,1,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14177,1,What key strokes are entered to display the previous screen in STAR?,g77090,1,"b) F6, Comma or Colon",0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14177,2,What key strokes are entered to display the previous screen in STAR?,g77091,2,"c) F5, Asterisk or Dash",0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14178,0,STAR notes are displayed with oldest notes at the top to most recent at the bottom.,g77092,0,TRUE,1,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14178,1,STAR notes are displayed with oldest notes at the top to most recent at the bottom.,g77093,1,FALSE,0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14179,0,"After 3 failed attempts to sign in to STAR, it will prompt one to start over.",g37427,0,TRUE,1,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14179,1,"After 3 failed attempts to sign in to STAR, it will prompt one to start over.",g37428,1,FALSE,0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14180,0,All employees' STAR Menu options are assigned by Job Class codes.,g77094,0,TRUE,1,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14180,1,All employees' STAR Menu options are assigned by Job Class codes.,g77095,1,FALSE,0,RCT: BUSINESS OFFICE BASICS TEST
6995,9812,Questions-0000-107,g3699,g14181,0,"In STAR, where is the blue transaction line located?",g77096,0,a) Top of the screen.,0,RCT: BUSINESS OFFICE BASICS TEST
