nl_id,docebo_id,docebo_code,newTest_ID,newQues_ID,sequence,question_text,newQuesAns_ID,answer_sequence,answer_text,correct,course_name
15600,9380,Elearning-0000-622,g9862,g50672,0,Which of the following describes indirect/unconjugated bilirubin?,g166399,0,Fat soluble,1,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020
15600,9380,Elearning-0000-622,g9862,g50672,1,Which of the following describes indirect/unconjugated bilirubin?,g166400,1,Non-toxic,0,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020
15600,9380,Elearning-0000-622,g9862,g50672,2,Which of the following describes indirect/unconjugated bilirubin?,g166401,2,Water soluble,0,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020
15600,9380,Elearning-0000-622,g9862,g50672,3,Which of the following describes indirect/unconjugated bilirubin?,g166402,3,Excreted in the urine and stool,0,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020
15600,9380,Elearning-0000-622,g9862,g50673,0,Which of the following describes direct/conjugated bilirubin?,g166403,0,Water soluble,0,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020
15600,9380,Elearning-0000-622,g9862,g50673,1,Which of the following describes direct/conjugated bilirubin?,g166404,1,Non-toxic,0,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020
15600,9380,Elearning-0000-622,g9862,g50673,2,Which of the following describes direct/conjugated bilirubin?,g166405,2,Excreted from the liver as a component of bile,0,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020
15600,9380,Elearning-0000-622,g9862,g50673,3,Which of the following describes direct/conjugated bilirubin?,g166406,3,All of the above,1,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020
15600,9380,Elearning-0000-622,g9862,g50674,0,If you see jaundice before the infant is 24 hours of age it is pathological jaundice.,g166407,0,TRUE,1,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020
15600,9380,Elearning-0000-622,g9862,g50674,1,If you see jaundice before the infant is 24 hours of age it is pathological jaundice.,g166408,1,FALSE,0,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020
15600,9380,Elearning-0000-622,g9862,g50675,0,f you see jaundice after 24 hours of life it is physiological and it is not clinically significant.,g166409,0,TRUE,0,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020
15600,9380,Elearning-0000-622,g9862,g50675,1,f you see jaundice after 24 hours of life it is physiological and it is not clinically significant.,g166410,1,FALSE,1,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020
15600,9380,Elearning-0000-622,g9862,g50676,0,Physiological jaundice is the result of which of the following?,g166411,0,Increased red blood cell destruction,0,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020
15600,9380,Elearning-0000-622,g9862,g50676,1,Physiological jaundice is the result of which of the following?,g166412,1,Immature liver function in the newborn,0,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020
15600,9380,Elearning-0000-622,g9862,g50676,2,Physiological jaundice is the result of which of the following?,g166413,2,Another disease process,0,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020
15600,9380,Elearning-0000-622,g9862,g50676,3,Physiological jaundice is the result of which of the following?,g166414,3,A and B only,1,FCC RESIDENCY NEWBORN JAUNDICE AND PHOTOTHERAPY FY2020
15599,9379,Elearning-0000-621,g9861,g50666,0,Sepsis is defined as which of the following:,g166374,0,SIRS + infection,1,FCC RESIDENCY MATERNAL SEPSIS FY2020
15599,9379,Elearning-0000-621,g9861,g50666,1,Sepsis is defined as which of the following:,g166375,1,Presence of highly infectious bacteria in the blood,0,FCC RESIDENCY MATERNAL SEPSIS FY2020
15599,9379,Elearning-0000-621,g9861,g50666,2,Sepsis is defined as which of the following:,g166376,2,System wide infection causing organ dysfunction,0,FCC RESIDENCY MATERNAL SEPSIS FY2020
15599,9379,Elearning-0000-621,g9861,g50666,3,Sepsis is defined as which of the following:,g166377,3,Septic shock,0,FCC RESIDENCY MATERNAL SEPSIS FY2020
15599,9379,Elearning-0000-621,g9861,g50667,0,Risk factors for sepsis in the post-partum population include which of the following:,g166378,0,Diabetes,0,FCC RESIDENCY MATERNAL SEPSIS FY2020
15599,9379,Elearning-0000-621,g9861,g50667,1,Risk factors for sepsis in the post-partum population include which of the following:,g166379,1,Hypertension,0,FCC RESIDENCY MATERNAL SEPSIS FY2020
15599,9379,Elearning-0000-621,g9861,g50667,2,Risk factors for sepsis in the post-partum population include which of the following:,g166380,2,Obesity,0,FCC RESIDENCY MATERNAL SEPSIS FY2020
15599,9379,Elearning-0000-621,g9861,g50667,3,Risk factors for sepsis in the post-partum population include which of the following:,g166381,3,Use of antibiotics within 2 weeks before delivery,0,FCC RESIDENCY MATERNAL SEPSIS FY2020
15599,9379,Elearning-0000-621,g9861,g50667,4,Risk factors for sepsis in the post-partum population include which of the following:,g166382,4,All of the above,1,FCC RESIDENCY MATERNAL SEPSIS FY2020
15599,9379,Elearning-0000-621,g9861,g50668,0,Which of the following lab results indicates cell injury?,g166383,0,"Platelets  80,000",0,FCC RESIDENCY MATERNAL SEPSIS FY2020
15599,9379,Elearning-0000-621,g9861,g50668,1,Which of the following lab results indicates cell injury?,g166384,1,Creatinine 4,0,FCC RESIDENCY MATERNAL SEPSIS FY2020
15599,9379,Elearning-0000-621,g9861,g50668,2,Which of the following lab results indicates cell injury?,g166385,2,"WBC 3,500",0,FCC RESIDENCY MATERNAL SEPSIS FY2020
