nl_id,docebo_id,docebo_code,newTest_ID,newQues_ID,sequence,question_text,newQuesAns_ID,answer_sequence,answer_text,correct,course_name
15744,9382,Elearning-0000-624,g9999,g51357,0,What are three risk factors for Low Birth Weight babies?,g168923,0,"Hypoglycemia, jaundice, and sepsis",1,FCC RESIDENCY AGE SPECIFIC CARE OF THE NEWBORN FY2020
15744,9382,Elearning-0000-624,g9999,g51357,1,What are three risk factors for Low Birth Weight babies?,g168924,1,"Weight loss, fast breathing, and erythematous skin",0,FCC RESIDENCY AGE SPECIFIC CARE OF THE NEWBORN FY2020
15744,9382,Elearning-0000-624,g9999,g51357,2,What are three risk factors for Low Birth Weight babies?,g168925,2,"Poor sleeping, bruising, and shoulder dystocia",0,FCC RESIDENCY AGE SPECIFIC CARE OF THE NEWBORN FY2020
15744,9382,Elearning-0000-624,g9999,g51357,3,What are three risk factors for Low Birth Weight babies?,g168926,3,"Hyperthermia, cephalohematoma, and lethargy",0,FCC RESIDENCY AGE SPECIFIC CARE OF THE NEWBORN FY2020
15744,9382,Elearning-0000-624,g9999,g51358,0,The husband of a patient is trying to blame the staff for making his son jaundiced. The infant is 36 weeks gestation. How do you educate the patient and family regarding this?,g168927,0,Validate his concerns regarding his son and then educate the parents regarding the different risk factors their baby has for jaundice.,1,FCC RESIDENCY AGE SPECIFIC CARE OF THE NEWBORN FY2020
15744,9382,Elearning-0000-624,g9999,g51358,1,The husband of a patient is trying to blame the staff for making his son jaundiced. The infant is 36 weeks gestation. How do you educate the patient and family regarding this?,g168928,1,"Tell him he is wrong, and that his wife isnΓÇÖt feeding the baby properly.",0,FCC RESIDENCY AGE SPECIFIC CARE OF THE NEWBORN FY2020
15744,9382,Elearning-0000-624,g9999,g51358,2,The husband of a patient is trying to blame the staff for making his son jaundiced. The infant is 36 weeks gestation. How do you educate the patient and family regarding this?,g168929,2,"Address how their baby is starving, and needs formula to combat this problem.",0,FCC RESIDENCY AGE SPECIFIC CARE OF THE NEWBORN FY2020
15744,9382,Elearning-0000-624,g9999,g51358,3,The husband of a patient is trying to blame the staff for making his son jaundiced. The infant is 36 weeks gestation. How do you educate the patient and family regarding this?,g168930,3,"Tell the parents that the baby is very sick, and will probably need to be transferred to Special Care Nursery for treatment.",0,FCC RESIDENCY AGE SPECIFIC CARE OF THE NEWBORN FY2020
15744,9382,Elearning-0000-624,g9999,g51359,0,What are the three parts of the energy triad?,g168931,0,"Small for gestational age, average for gestational age, and large for gestational age.",0,FCC RESIDENCY AGE SPECIFIC CARE OF THE NEWBORN FY2020
15744,9382,Elearning-0000-624,g9999,g51359,1,What are the three parts of the energy triad?,g168932,1,"Genetics, weight gain, and gender.",0,FCC RESIDENCY AGE SPECIFIC CARE OF THE NEWBORN FY2020
