course_id,course_code,docebo_code,course_name_input,course_name,test_id,test_name,type,question_title,answer_title,is_correct,score_if_correct,status,message,updated
4074,ILT-0000-18057,ILT-0000-18057,RCT: INSURANCE UNIVERSITY,RCT: INSURANCE UNIVERSITY,g9971,RCT: INSURANCE UNIVERSITY- g9971,choice,I acknowledge that I have read and understand this CBL,TRUE,True,100,SUCCESS: 200,"New Test with ID 15 has been created. New Question with ID 166 has been created (Test ID 15). New Answer with ID 555 has been created (Test ID 15, Question ID 166).",True
4074,ILT-0000-18057,ILT-0000-18057,RCT: INSURANCE UNIVERSITY,RCT: INSURANCE UNIVERSITY,g9971,RCT: INSURANCE UNIVERSITY- g9971,choice,I acknowledge that I have read and understand this CBL,FALSE,False,0,SUCCESS: 200,"New Answer with ID 556 has been created (Test ID 15, Question ID 166).",True
4057,ILT-0000-18039,ILT-0000-18039,RCT: CONFIDENT COLLECTOR UNIVERSITY,RCT: CONFIDENT COLLECTOR UNIVERSITY,g9970,RCT: CONFIDENT COLLECTOR UNIVERSITY- g9970,choice,I acknowledge that I have read and understand this CBL,TRUE,True,100,SUCCESS: 200,"New Test with ID 16 has been created. New Question with ID 167 has been created (Test ID 16). New Answer with ID 557 has been created (Test ID 16, Question ID 167).",True
4057,ILT-0000-18039,ILT-0000-18039,RCT: CONFIDENT COLLECTOR UNIVERSITY,RCT: CONFIDENT COLLECTOR UNIVERSITY,g9970,RCT: CONFIDENT COLLECTOR UNIVERSITY- g9970,choice,I acknowledge that I have read and understand this CBL,FALSE,False,0,SUCCESS: 200,"New Answer with ID 558 has been created (Test ID 16, Question ID 167).",True
8942,Elearning-0000-224,Elearning-0000-224,RCT: ACCOUNT RESOLUTION UNIVERSITY CBL,RCT: ACCOUNT RESOLUTION UNIVERSITY CBL,g9969,RCT: ACCOUNT RESOLUTION UNIVERSITY CBL- g9969,choice,I acknowledge that I have read and completely understand this CBL.,TRUE,True,100,SUCCESS: 200,"New Test with ID 17 has been created. New Question with ID 168 has been created (Test ID 17). New Answer with ID 559 has been created (Test ID 17, Question ID 168).",True
8942,Elearning-0000-224,Elearning-0000-224,RCT: ACCOUNT RESOLUTION UNIVERSITY CBL,RCT: ACCOUNT RESOLUTION UNIVERSITY CBL,g9969,RCT: ACCOUNT RESOLUTION UNIVERSITY CBL- g9969,choice,I acknowledge that I have read and completely understand this CBL.,FALSE,False,0,SUCCESS: 200,"New Answer with ID 560 has been created (Test ID 17, Question ID 168).",True
9085,Elearning-0000-354,Elearning-0000-354,NSH 1251 AMENDMENT 2,NSH 1251 AMENDMENT 2,g9967,NSH 1251 AMENDMENT 2- g9967,choice,"For questions about these statements, contact your manager.<br><br>  I have reviewed the <CBL Name> CBL content.<br> I understand that I am responsible for the information.<br> I understand that I should stop in the face of uncertainty and ask for clarification.<br> I know where and how to get my questions answered about this topic.",TRUE,True,100,SUCCESS: 200,"New Test with ID 18 has been created. New Question with ID 169 has been created (Test ID 18). New Answer with ID 561 has been created (Test ID 18, Question ID 169).",True
9085,Elearning-0000-354,Elearning-0000-354,NSH 1251 AMENDMENT 2,NSH 1251 AMENDMENT 2,g9967,NSH 1251 AMENDMENT 2- g9967,choice,"For questions about these statements, contact your manager.<br><br>  I have reviewed the <CBL Name> CBL content.<br> I understand that I am responsible for the information.<br> I understand that I should stop in the face of uncertainty and ask for clarification.<br> I know where and how to get my questions answered about this topic.",FALSE,False,0,SUCCESS: 200,"New Answer with ID 562 has been created (Test ID 18, Question ID 169).",True
9060,Elearning-0000-331,Elearning-0000-331,NSH 1170 AMENDMENT 7,NSH 1170 AMENDMENT 7,g9966,NSH 1170 AMENDMENT 7- g9966,choice,"For questions about these statements, contact your manager.<br><br>  I have reviewed the <CBL Name> CBL content.<br> I understand that I am responsible for the information.<br> I understand that I should stop in the face of uncertainty and ask for clarification.<br> I know where and how to get my questions answered about this topic.",TRUE,True,100,SUCCESS: 200,"New Test with ID 19 has been created. New Question with ID 170 has been created (Test ID 19). New Answer with ID 563 has been created (Test ID 19, Question ID 170).",True
9060,Elearning-0000-331,Elearning-0000-331,NSH 1170 AMENDMENT 7,NSH 1170 AMENDMENT 7,g9966,NSH 1170 AMENDMENT 7- g9966,choice,"For questions about these statements, contact your manager.<br><br>  I have reviewed the <CBL Name> CBL content.<br> I understand that I am responsible for the information.<br> I understand that I should stop in the face of uncertainty and ask for clarification.<br> I know where and how to get my questions answered about this topic.",FALSE,False,0,SUCCESS: 200,"New Answer with ID 564 has been created (Test ID 19, Question ID 170).",True
289,SCORM-0000-99,SCORM-0000-99,PREVENTION OF INFORMATION BLOCKING,PREVENTION OF INFORMATION BLOCKING,g9965,PREVENTION OF INFORMATION BLOCKING- g9965,choice,"I acknowledge that I have read and understand the ""Prevention of Information Blocking"" CBL in its entirety.",TRUE,True,100,SUCCESS: 200,"New Test with ID 20 has been created. New Question with ID 171 has been created (Test ID 20). New Answer with ID 565 has been created (Test ID 20, Question ID 171).",True
289,SCORM-0000-99,SCORM-0000-99,PREVENTION OF INFORMATION BLOCKING,PREVENTION OF INFORMATION BLOCKING,g9965,PREVENTION OF INFORMATION BLOCKING- g9965,choice,"I acknowledge that I have read and understand the ""Prevention of Information Blocking"" CBL in its entirety.",FALSE,False,0,SUCCESS: 200,"New Answer with ID 566 has been created (Test ID 20, Question ID 171).",True
9055,Elearning-0000-327,Elearning-0000-327,NSH 1184 VERSION 4.0,NSH 1184 VERSION 4.0,g9964,NSH 1184 VERSION 4.0- g9964,choice,"For questions about these statements, contact your manager.<br><br>  I have reviewed the <CBL Name> CBL content.<br> I understand that I am responsible for the information.<br> I understand that I should stop in the face of uncertainty and ask for clarification.<br> I know where and how to get my questions answered about this topic.",TRUE,True,100,SUCCESS: 200,"New Test with ID 21 has been created. New Question with ID 172 has been created (Test ID 21). New Answer with ID 567 has been created (Test ID 21, Question ID 172).",True
9055,Elearning-0000-327,Elearning-0000-327,NSH 1184 VERSION 4.0,NSH 1184 VERSION 4.0,g9964,NSH 1184 VERSION 4.0- g9964,choice,"For questions about these statements, contact your manager.<br><br>  I have reviewed the <CBL Name> CBL content.<br> I understand that I am responsible for the information.<br> I understand that I should stop in the face of uncertainty and ask for clarification.<br> I know where and how to get my questions answered about this topic.",FALSE,False,0,SUCCESS: 200,"New Answer with ID 568 has been created (Test ID 21, Question ID 172).",True
9052,Elearning-0000-324,Elearning-0000-324,NSH 1216 AMENDMENT 2,NSH 1216 AMENDMENT 2,g9963,NSH 1216 AMENDMENT 2- g9963,choice,"For questions about these statements, contact your manager.<br><br>  I have reviewed the <CBL Name> CBL content.<br> I understand that I am responsible for the information.<br> I understand that I should stop in the face of uncertainty and ask for clarification.<br> I know where and how to get my questions answered about this topic.",TRUE,True,100,SUCCESS: 200,"New Test with ID 22 has been created. New Question with ID 173 has been created (Test ID 22). New Answer with ID 569 has been created (Test ID 22, Question ID 173).",True
9052,Elearning-0000-324,Elearning-0000-324,NSH 1216 AMENDMENT 2,NSH 1216 AMENDMENT 2,g9963,NSH 1216 AMENDMENT 2- g9963,choice,"For questions about these statements, contact your manager.<br><br>  I have reviewed the <CBL Name> CBL content.<br> I understand that I am responsible for the information.<br> I understand that I should stop in the face of uncertainty and ask for clarification.<br> I know where and how to get my questions answered about this topic.",FALSE,False,0,SUCCESS: 200,"New Answer with ID 570 has been created (Test ID 22, Question ID 173).",True
9403,Elearning-0000-643,Elearning-0000-643,EMERGENCIES IN DNE,EMERGENCIES IN DNE,g9958,EMERGENCIES IN DNE- g9958,choice,"As you sit down to chart you notice a message with a threat written on it, you shouldΓÇª",Throw it in the trash can immediately,False,0,SUCCESS: 200,"New Test with ID 23 has been created. New Question with ID 174 has been created (Test ID 23). New Answer with ID 571 has been created (Test ID 23, Question ID 174).",True
9403,Elearning-0000-643,Elearning-0000-643,EMERGENCIES IN DNE,EMERGENCIES IN DNE,g9958,EMERGENCIES IN DNE- g9958,choice,"As you sit down to chart you notice a message with a threat written on it, you shouldΓÇª",Pick it up and take it to your charge RN or supervisor,False,0,SUCCESS: 200,"New Answer with ID 572 has been created (Test ID 23, Question ID 174).",True
9403,Elearning-0000-643,Elearning-0000-643,EMERGENCIES IN DNE,EMERGENCIES IN DNE,g9958,EMERGENCIES IN DNE- g9958,choice,"As you sit down to chart you notice a message with a threat written on it, you shouldΓÇª","Handle the message as little as possible, call security and place message in clean plastic bag",False,0,SUCCESS: 200,"New Answer with ID 573 has been created (Test ID 23, Question ID 174).",True
9403,Elearning-0000-643,Elearning-0000-643,EMERGENCIES IN DNE,EMERGENCIES IN DNE,g9958,EMERGENCIES IN DNE- g9958,choice,"As you sit down to chart you notice a message with a threat written on it, you shouldΓÇª","Call charge RN, supervisor and security and sweep the area for anything that looks suspicious",False,0,SUCCESS: 200,"New Answer with ID 574 has been created (Test ID 23, Question ID 174).",True
9403,Elearning-0000-643,Elearning-0000-643,EMERGENCIES IN DNE,EMERGENCIES IN DNE,g9958,EMERGENCIES IN DNE- g9958,choice,"As you sit down to chart you notice a message with a threat written on it, you shouldΓÇª",Both C and D,True,100,SUCCESS: 200,"New Answer with ID 575 has been created (Test ID 23, Question ID 174).",True
9403,Elearning-0000-643,Elearning-0000-643,EMERGENCIES IN DNE,EMERGENCIES IN DNE,g9958,EMERGENCIES IN DNE- g9958,choice,The best place to find policies for any emergency is,Lucidoc,True,100,SUCCESS: 200,"New Question with ID 175 has been created (Test ID 23). New Answer with ID 576 has been created (Test ID 23, Question ID 175).",True
9403,Elearning-0000-643,Elearning-0000-643,EMERGENCIES IN DNE,EMERGENCIES IN DNE,g9958,EMERGENCIES IN DNE- g9958,choice,The best place to find policies for any emergency is,Netlearning,False,0,SUCCESS: 200,"New Answer with ID 577 has been created (Test ID 23, Question ID 175).",True
9403,Elearning-0000-643,Elearning-0000-643,EMERGENCIES IN DNE,EMERGENCIES IN DNE,g9958,EMERGENCIES IN DNE- g9958,choice,The best place to find policies for any emergency is,The news,False,0,SUCCESS: 200,"New Answer with ID 578 has been created (Test ID 23, Question ID 175).",True
9403,Elearning-0000-643,Elearning-0000-643,EMERGENCIES IN DNE,EMERGENCIES IN DNE,g9958,EMERGENCIES IN DNE- g9958,choice,You are consulting on a woman who has preeclampsia and gestational diabetes when she begins to have difficulty speaking and facial drooping. You expect that she may be having a stroke related to high blood pressure. What would you do first?,Attempt to get her to talk to you. Maybe this is temporary,False,0,SUCCESS: 200,"New Question with ID 176 has been created (Test ID 23). New Answer with ID 579 has been created (Test ID 23, Question ID 176).",True
9403,Elearning-0000-643,Elearning-0000-643,EMERGENCIES IN DNE,EMERGENCIES IN DNE,g9958,EMERGENCIES IN DNE- g9958,choice,You are consulting on a woman who has preeclampsia and gestational diabetes when she begins to have difficulty speaking and facial drooping. You expect that she may be having a stroke related to high blood pressure. What would you do first?,"Call for help immediately, a stroke needs to be treated as soon as possible",True,100,SUCCESS: 200,"New Answer with ID 580 has been created (Test ID 23, Question ID 176).",True
9403,Elearning-0000-643,Elearning-0000-643,EMERGENCIES IN DNE,EMERGENCIES IN DNE,g9958,EMERGENCIES IN DNE- g9958,choice,You are consulting on a woman who has preeclampsia and gestational diabetes when she begins to have difficulty speaking and facial drooping. You expect that she may be having a stroke related to high blood pressure. What would you do first?,Get a blood sugar,False,0,SUCCESS: 200,"New Answer with ID 581 has been created (Test ID 23, Question ID 176).",True
9403,Elearning-0000-643,Elearning-0000-643,EMERGENCIES IN DNE,EMERGENCIES IN DNE,g9958,EMERGENCIES IN DNE- g9958,choice,The correct steps to a successful resuscitation in order of priority areΓÇª,"Activate Emergency Response, defibrillate, chest compressions, ventilate and suction",False,0,SUCCESS: 200,"New Question with ID 177 has been created (Test ID 23). New Answer with ID 582 has been created (Test ID 23, Question ID 177).",True
9403,Elearning-0000-643,Elearning-0000-643,EMERGENCIES IN DNE,EMERGENCIES IN DNE,g9958,EMERGENCIES IN DNE- g9958,choice,The correct steps to a successful resuscitation in order of priority areΓÇª,"Activate Emergency Response, chest compressions, defibrillate, ventilate, and suction",True,100,SUCCESS: 200,"New Answer with ID 583 has been created (Test ID 23, Question ID 177).",True
9403,Elearning-0000-643,Elearning-0000-643,EMERGENCIES IN DNE,EMERGENCIES IN DNE,g9958,EMERGENCIES IN DNE- g9958,choice,The correct steps to a successful resuscitation in order of priority areΓÇª,"Chest compressions, defibrillate, activate emergency response, ventilate and suction",False,0,SUCCESS: 200,"New Answer with ID 584 has been created (Test ID 23, Question ID 177).",True
9403,Elearning-0000-643,Elearning-0000-643,EMERGENCIES IN DNE,EMERGENCIES IN DNE,g9958,EMERGENCIES IN DNE- g9958,choice,The correct steps to a successful resuscitation in order of priority areΓÇª,"Ventilate and suction, chest compressions, activate emergency response and defibrillate",False,0,SUCCESS: 200,"New Answer with ID 585 has been created (Test ID 23, Question ID 177).",True
9403,Elearning-0000-643,Elearning-0000-643,EMERGENCIES IN DNE,EMERGENCIES IN DNE,g9958,EMERGENCIES IN DNE- g9958,choice,The correct rate for chest compressions on an adult is 100-120 compressions per minute,TRUE,True,100,SUCCESS: 200,"New Question with ID 178 has been created (Test ID 23). New Answer with ID 586 has been created (Test ID 23, Question ID 178).",True
9403,Elearning-0000-643,Elearning-0000-643,EMERGENCIES IN DNE,EMERGENCIES IN DNE,g9958,EMERGENCIES IN DNE- g9958,choice,The correct rate for chest compressions on an adult is 100-120 compressions per minute,FALSE,False,0,SUCCESS: 200,"New Answer with ID 587 has been created (Test ID 23, Question ID 178).",True
